Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C3, C4, C5, C7, C8",0402,6,100n,C307331
"C2, C6, C9",0805,3,22u,C602037
J1,PinHeader_2x18_P2.54mm_Vertical_SMD,1,Mainboard,C6332243
J2,PinHeader_2x05_P2.54mm_Vertical,1,Antenna switcher,-
J3,1X04_1MM_RA_GND,1,I2C,C7433425
J4,1X04_1MM_RA_GND,1,I3C,C7433425
"R1, R2, R4, R5, R6, R7, R8, R9",0402,8,100k,C25741
R10,0402,1,1k,C11702
U1,WIRELM-SMD_E22-900M22S,1,Module 1,C2965513
U3,SOP-8_3.9x4.9mm_P1.27mm,1,24C02BN,C18723542
U4,WIRELM-SMD_E22-900M22S,1,Module 2,C411291
"U5, U7",SOT-353_SC-70-5,2,74LVC1GU04,C485082
U6,WIRELM-SMD_E22-900M22S,1,Module 3,-
