Designator,Mid X,Mid Y,Rotation,Layer
C10,11.049,1.5748,270.0,top
C2,-30.6,0.7,270.0,top
C3,-29.0,1.5,270.0,top
C4,11.75,-12.2,0.0,top
C5,-9.8552,7.5412,0.0,top
C6,-10.16,0.6832,270.0,top
C7,-8.636,1.496,270.0,top
C8,10.4902,7.3152,0.0,top
C9,9.525,0.8128,270.0,top
J1,-3.81,-12.0,90.0,bottom
J3,32.0,-8.0,90.0,top
J4,-32.0,-8.0,270.0,top
R1,-9.8552,8.5572,0.0,top
R10,6.0,-5.5,180.0,top
R2,-14.0,-5.5,0.0,top
R4,10.4882,8.3566,0.0,top
R5,-2.0,-5.5,180.0,top
R6,-9.398,3.175,180.0,top
R7,29.2608,8.382,0.0,top
R8,1.5,-5.5,180.0,top
R9,10.6172,3.048,180.0,top
U1,-20.0,8.0,180.0,top
U3,14.5,-9.0,90.0,top
U4,0.0,8.0,180.0,top
U5,-9.8806,5.3594,270.0,top
U7,10.16,5.1816,270.0,top
